INVOICE;Исходный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Код страны поставщика;УНП поставщика;Код филиала для поставщика;Наименование поставщика;ИМНС поставщика;Статус поставщика;ФИО подписавшего ЭСЧФ поставщика;Код страны получателя;УНП получателя;Код филиала для получателя;Наименование получателя;ИМНС получателя;Статус получателя;ФИО подписавшего ЭСЧФ получателя;№ ЭСЧФ;К ЭСЧФ;Тип ЭСЧФ;Статус ЭСЧФ;Дата выставления;Дата совершения;Дата подписания получателем;Дата аннулирования;Регистрационный номер выпуска товаров (поставщик);Дата выпуска товаров (поставщик);Дата разрешения на убытие товаров (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (поставщик);Регистрационный номер выпуска товаров (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (получатель);Дата ввоза товаров (получатель);Договор;Дата договора;Вид документа;Наименование документа;Код формы;Серия;Номер;Дата документа;Cумма без НДС;Cумма акциза;Сумма НДС;Стоимость с НДС
112;190063577;;"ООО ""Еврозапчасть""";109;Продавец;Шпиганович Ольга Григорьевна;112;691772248;;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;190063577-2018-1000118014;;Исходный;Выставлен. Подписан получателем;02.03.2018;27.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""Договор поставки б/н""";03.01.2018;ТТН-1;ТТН-1;402962;ил;"""0404306""";27.02.2018;45,1;0;9,02;54,12
112;101223447;;"РУП ""Национальный центр маркетинга и конъюнктуры цен""";111;Продавец;Негодько Татьяна Зеноновна;112;691772248;;"ООО ""Химпромоил""";107;Покупатель; ;101223447-2018-0000031906;;Исходный;Выставлен. Подписан получателем;03.03.2018;26.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""ЭТП-2015-03-18397""";11.03.2015;Акт;;;;"""ЭТП-2018-18397/133923""";26.02.2018;14,17;0;2,83;17
112;300035579;     ;"Открытое акционерное общество ""Обольский керамический завод""";323;Продавец;Жолудева Наталья Михайловна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;300035579-2018-0000000311;;Исходный;Выставлен. Подписан получателем;06.03.2018;23.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""83""";20.02.2018;ТТН-1;ТТН-1;402962;ИА;"""0168851""";23.02.2018;1704,68;0;340,94;2045,62
112;190604917;     ;"ООО ""Астра-Лизинг""";103;Продавец;Коледа Лариса Владимировна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;190604917-2018-0000000668;;Исходный;Выставлен;05.03.2018;23.02.2018;;;"""""";;;"""""";;"""""";"""""";;;"""022-725/2018""";23.02.2018;Акт;;;;"""2/022-725/2018""";23.02.2018;14928,34;0;2985,66;17914
112;101223447;;"РУП ""Национальный центр маркетинга и конъюнктуры цен""";111;Продавец;Негодько Татьяна Зеноновна;112;691772248;;"ООО ""Химпромоил""";107;Покупатель; ;101223447-2018-0000031240;;Исходный;Выставлен. Подписан получателем;27.02.2018;23.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""ЭТП-2015-03-18397""";11.03.2015;Акт;;;;"""ЭТП-2018-18397/132810""";23.02.2018;14,17;0;2,83;17
112;691834846;     ;"Общество с ограниченной ответственностью ""Город Масел""";613;Продавец;Кахно Татьяна Валерьевна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;691834846-2018-0000000250;;Исходный;Выставлен. Подписан получателем;05.03.2018;23.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";20.07.2017;ТН-2;ТН-2;401951;ЖМ;"""0098665""";23.02.2018;841,51;0;168,3;1009,81
112;691834846;     ;"Общество с ограниченной ответственностью ""Город Масел""";613;Продавец;Кахно Татьяна Валерьевна;112;691772248;     ;"ООО ""ХимПромОил""";107;Покупатель; ;691834846-2018-0000000246;;Исходный;Выставлен. Подписан получателем;05.03.2018;23.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""б/н""";20.07.2017;ТТН-1;ТТН-1;402961;ЮР;"""7063087""";23.02.2018;704,25;0;140,85;845,1
112;100070543;;"ООО ""СВИАТ""";613;Продавец;Грихутик Анастасия Александровна;112;691772248;;ООО «ХимПромОил»;107;Покупатель; ;100070543-2018-0000010137;;Исходный;Выставлен. Подписан получателем;28.02.2018;22.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""18440""";25.10.2016;ТН-2;ТН-2;401951;ЖН;"""2081249""";22.02.2018;16;0;3,2;19,2
112;100070543;;"ООО ""СВИАТ""";613;Продавец;Грихутик Анастасия Александровна;112;691772248;;ООО «ХимПромОил»;107;Покупатель; ;100070543-2018-0000010135;;Исходный;Выставлен. Подписан получателем;28.02.2018;22.02.2018;14.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""18440""";25.10.2016;ТН-2;ТН-2;401951;ЖН;"""2081247""";22.02.2018;6,89;0;1,38;8,27
112;491316421;     ;"Общество с ограниченной ответственностью ""ГрандОйл""";432;Продавец;Железнякова Ольга Петровна;112;691772248;     ;"Общество с ограниченной ответственностью ""ХимПромОил""";107;Покупатель; ;491316421-2018-0000001180;;Исходный;Выставлен. Подписан получателем;28.02.2018;22.02.2018;12.03.2018;;"""""";;;"""""";;"""""";"""""";;;"""527/17""";11.12.2017;ТТН-1;ТТН-1;402961;ЮЯ;"""0729463""";22.02.2018;12251,94;0;2450,39;14702,33
