
INVOICE;Исходный
"Код страны поставщика";УНП поставщика;Код филиала для поставщика;Наименование поставщика;ИМНС поставщика;Статус поставщика;ФИО подписавшего ЭСЧФ поставщика;Код страны получателя;УНП получателя;Код филиала для получателя;Наименование получателя;ИМНС получателя;Статус получателя;ФИО подписавшего ЭСЧФ получателя;№ ЭСЧФ;К ЭСЧФ;Тип ЭСЧФ;Статус ЭСЧФ;Дата выставления;Дата совершения;Дата подписания получателем;Дата аннулирования;Регистрационный номер выпуска товаров (поставщик);Дата выпуска товаров (поставщик);Дата разрешения на убытие товаров (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (поставщик);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (поставщик);Регистрационный номер выпуска товаров (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – номер (получатель);Реквизиты заявления о ввозе товаров и уплате косвенных налогов – дата (получатель);Дата ввоза товаров (получатель);Договор;Дата договора;Вид документа;Наименование документа;Код формы;Серия;Номер;Дата документа;Cумма без НДС;Cумма акциза;Сумма НДС;Стоимость с НДС
112;191006598;;"ООО ""Внешевросервис""";111;Продавец;Овсянникова Татьяна Эдуардовна;112;100588821;;"Научно-производственное общество с ограниченной ответственностью ""Эртекс"" (НП ООО ""Эртекс"")";105;Покупатель;" ";191006598-2018-0000014034;;Исходный;Выставлен. Подписан получателем;02-03-2018;13-02-2018;02-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""ТА-0600/0000328-13-1240""";18.07.2013;Акт выполненных работ;Акт выполненных работ;;;"""00000009684""";2018-02-13;141,0;0,0;28,200;169,200
112;191006598;;"ООО ""Внешевросервис""";111;Посредник;Овсянникова Татьяна Эдуардовна;112;100588821;;"Научно-производственное общество с ограниченной ответственностью ""Эртекс"" (НП ООО ""Эртекс"")";105;Потребитель;" ";191006598-2018-0000018079;;Исходный;Выставлен. Подписан получателем;03-03-2018;12-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""ТА-0600/0000328-13-1240""";18.07.2013;Акт выполненных работ;Акт выполненных работ;;;"""00000009327""";2018-02-12;40,0;0,0;8,000;48,000
156;;"     ";HENGDIAN GROUP DMEGC MAGNETICS CO.. ltd;;Иностранная организация;Жихар Александр Иванович;112;100588821;"     ";"НП ООО ""Эртекс"", РБ";105;Покупатель;" ";100588821-2018-0000000183;;Исходный;Выставлен. Подписан получателем;28-03-2018;12-02-2018;28-03-2018;;"""""";;;"""""";;"""06611/82005548""";"""""";;;"""17/02-I""";27.02.2018;Invoice (счет);;;;"""92H280ADM/17""";2017-12-11;5224,44;0,0;1044,890;0,000
112;191006598;;"ООО ""Внешевросервис""";111;Посредник;Овсянникова Татьяна Эдуардовна;112;100588821;;"Научно-производственное общество с ограниченной ответственностью ""Эртекс"" (НП ООО ""Эртекс"")";105;Потребитель;" ";191006598-2018-0000018078;;Исходный;Выставлен. Подписан получателем;03-03-2018;12-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""ТА-0600/0000328-13-1240""";18.07.2013;Акт выполненных работ;Акт выполненных работ;;;"""00000009326""";2018-02-12;29,62;0,0;5,930;35,550
112;191653588;;"Частное торговое унитарное предприятие ""Тонер Сервис""";106;Продавец;Кириллова Светлана Александровна;112;100588821;;"ООО ""Эртекс""";105;Покупатель;" ";191653588-2018-0000000063;;Исходный;Выставлен. Подписан получателем;01-03-2018;08-02-2018;02-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""131/У""";12.04.2013;Акт;;;;"""000063""";2018-02-08;28,85;0,0;5,770;34,620
112;690359357;"     ";"ЧУП ""Первая металлоторговая компания""";112;Продавец;Трифонцова Анна Владимировна;112;100588821;"     ";"Научно-производственное общество с ограниченной ответственностью ""Эртекс""";105;Покупатель;" ";690359357-2018-0000006020;;Исходный;Выставлен. Подписан получателем;03-03-2018;08-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""896""";01.02.2018;ТТН-1;;402961;ЮЭ;"""4380493""";2018-02-08;315,0;0,0;63,000;378,000
112;191006598;;"ООО ""Внешевросервис""";111;Продавец;Овсянникова Татьяна Эдуардовна;112;100588821;;"Научно-производственное общество с ограниченной ответственностью ""Эртекс"" (НП ООО ""Эртекс"")";105;Покупатель;" ";191006598-2018-0000012634;;Исходный;Выставлен. Подписан получателем;02-03-2018;07-02-2018;02-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""ТА-0600/0000328-13-1240""";18.07.2013;Акт выполненных работ;Акт выполненных работ;;;"""00000008139""";2018-02-07;23,9;0,0;4,780;28,680
156;;"     ";CHONGQING SEATREND TECHNOLOGY AND DEVELOPMENT CO.,LTD;;Иностранная организация;Жихар Александр Иванович;112;100588821;"     ";"НП ООО ""Эртекс"", РБ";105;Покупатель;" ";100588821-2018-0000000145;;Исходный;Выставлен. Подписан получателем;27-03-2018;06-02-2018;27-03-2018;;"""""";;;"""""";;"""06611/82004474""";"""""";;;"""17/06-I""";01.06.2017;Invoice (счет);;;;"""PI17090026""";2017-12-20;34434,53;0,0;6886,910;0,000
112;191006598;;"ООО ""Внешевросервис""";111;Посредник;Овсянникова Татьяна Эдуардовна;112;100588821;;"Научно-производственное общество с ограниченной ответственностью ""Эртекс"" (НП ООО ""Эртекс"")";105;Потребитель;" ";191006598-2018-0000018159;;Исходный;Выставлен. Подписан получателем;05-03-2018;05-02-2018;12-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""ТА-0600/0000328-13-1240""";18.07.2013;Акт выполненных работ;Акт выполненных работ;;;"""00000014292""";2018-02-05;49,67;0,0;9,930;59,600
112;191006598;;"ООО ""Внешевросервис""";111;Продавец;Овсянникова Татьяна Эдуардовна;112;100588821;;"Научно-производственное общество с ограниченной ответственностью ""Эртекс"" (НП ООО ""Эртекс"")";105;Покупатель;" ";191006598-2018-0000012105;;Исходный;Выставлен. Подписан получателем;02-03-2018;05-02-2018;02-03-2018;;"""""";;;"""""";;"""""";"""""";;;"""ТА-0600/0000328-13-1240""";18.07.2013;Акт выполненных работ;Акт выполненных работ;;;"""00000007551""";2018-02-05;141,0;0,0;28,200;169,200
